ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
1860491014,The Drama of Being a Child: The Search for the True Self,Alice Miller,1995,Time Warner Books UK,http://images.amazon.com/images/P/1860491014.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1860491014.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1860491014.01.LZZZZZZZ.jpg
0749921412,Six Weeks to Superhealth,Patrick Holford,2000,Piatkus Books,http://images.amazon.com/images/P/0749921412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749921412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749921412.01.LZZZZZZZ.jpg
0451400763,Quest,Richard Ben Sapir,1988,New Amer Library (Mm),http://images.amazon.com/images/P/0451400763.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451400763.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451400763.01.LZZZZZZZ.jpg
0879511699,Wallraff: The Undesirable Journalist,Gunter Wallraff,1983,Overlook Press,http://images.amazon.com/images/P/0879511699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0879511699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0879511699.01.LZZZZZZZ.jpg
0440123925,Exit to Eden,ANNE RAMPLING,1986,Dell,http://images.amazon.com/images/P/0440123925.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440123925.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440123925.01.LZZZZZZZ.jpg
0811806456,A Little Chicago Cookbook (Littel Books Series),Judith Ferguson,1994,Chronicle Books Llc,http://images.amazon.com/images/P/0811806456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811806456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811806456.01.LZZZZZZZ.jpg
0345422813,Brave Dames and Wimpettes: What Women Are Really Doing on Page and Screen (Library of Contemporary Thought),Susan Isaacs,1999,Ballantine Books,http://images.amazon.com/images/P/0345422813.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345422813.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345422813.01.LZZZZZZZ.jpg
0140554556,Big Cat Dreaming,Margaret Wild,0,Penguin Books Australia Ltd,http://images.amazon.com/images/P/0140554556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140554556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140554556.01.LZZZZZZZ.jpg
0060515163,Mr. S : My Life with Frank Sinatra,George Jacobs,2003,HarperEntertainment,http://images.amazon.com/images/P/0060515163.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060515163.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060515163.01.LZZZZZZZ.jpg
1562391348,Fun With Vowels A/A (Fun With Vowels),Shelly Nielsen,1992,Abdo & Daughters Publishing,http://images.amazon.com/images/P/1562391348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1562391348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1562391348.01.LZZZZZZZ.jpg
0312286899,Sweet and Lowdown : A Dorie Lennox Mystery (Dorie Lennox Mysteries),Lise McClendon,2002,St. Martin's Minotaur,http://images.amazon.com/images/P/0312286899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312286899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312286899.01.LZZZZZZZ.jpg
2738109446,Les vilains petits canards,Boris Cyrulnik,2001,Jacob,http://images.amazon.com/images/P/2738109446.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2738109446.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2738109446.01.LZZZZZZZ.jpg
0517161931,Joys of Italian Humor,Henry D. Spalding,2000,Gramercy Books,http://images.amazon.com/images/P/0517161931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517161931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517161931.01.LZZZZZZZ.jpg
0553257978,The Rings of Saturn (Time Machine No 6),Arthur Byron Cover,1985,Bantam Books,http://images.amazon.com/images/P/0553257978.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553257978.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553257978.01.LZZZZZZZ.jpg
0786842342,Disney's the Parent Trap,Hallie Marshall,1998,Disney Pr (Jp),http://images.amazon.com/images/P/0786842342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786842342.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786842342.01.LZZZZZZZ.jpg
0688006485,Pathfinders,Gail Sheehy,1981,Harpercollins,http://images.amazon.com/images/P/0688006485.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688006485.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688006485.01.LZZZZZZZ.jpg
0451512642,Ibsen Four Major Plays,Henrik Ibsen,2002,New Amer Library,http://images.amazon.com/images/P/0451512642.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451512642.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451512642.01.LZZZZZZZ.jpg
3596121477,Die sieben DÃ?Â¤monen.,Barbara Wood,1995,"Fischer (Tb.), Frankfurt",http://images.amazon.com/images/P/3596121477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3596121477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3596121477.01.LZZZZZZZ.jpg
1557041393,Bram Stoker's Dracula: The Film and the Legend (A Newmarket Pictorial Moviebook),Francis F. Coppola,1992,Newmarket Press,http://images.amazon.com/images/P/1557041393.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1557041393.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1557041393.01.LZZZZZZZ.jpg
0517594412,When They Took Away the Man in the Moon,Kate Lehrer,1993,Random House Inc,http://images.amazon.com/images/P/0517594412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517594412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517594412.01.LZZZZZZZ.jpg
0812579283,Murcheston,David Holland,2001,Tor Books,http://images.amazon.com/images/P/0812579283.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812579283.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812579283.01.LZZZZZZZ.jpg
1574713345,By Myself or with My Friends,Kimberly Jordano,1998,Creative Teaching Press,http://images.amazon.com/images/P/1574713345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1574713345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1574713345.01.LZZZZZZZ.jpg
3485004081,"Ballmanns Leiden, oder, Lehrbuch fÃ¼r Konkursrecht: Roman",Herbert Rosendorfer,1981,Nymphenburger,http://images.amazon.com/images/P/3485004081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3485004081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3485004081.01.LZZZZZZZ.jpg
0345297377,Dynasty of Spies,Dan Sherman,1981,Ballantine Books,http://images.amazon.com/images/P/0345297377.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345297377.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345297377.01.LZZZZZZZ.jpg
0804812268,Modern Japanese Stories: An Anthology,Ivan Morris,1977,Tuttle Publishing,http://images.amazon.com/images/P/0804812268.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804812268.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804812268.01.LZZZZZZZ.jpg
0770420370,Daddy's Girl,Charlotte Vale Allen,1984,Bantam Books (Mm),http://images.amazon.com/images/P/0770420370.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0770420370.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0770420370.01.LZZZZZZZ.jpg
0553272217,Dirty Work,Rob Kantner,1988,Bantam Books,http://images.amazon.com/images/P/0553272217.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553272217.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553272217.01.LZZZZZZZ.jpg
0809250969,101 Famous Poems,Roy J. Cook,1985,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809250969.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809250969.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809250969.01.LZZZZZZZ.jpg
0671636766,Star Maps for Beginners,J. M. Levitt,1987,Simon & Schuster,http://images.amazon.com/images/P/0671636766.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671636766.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671636766.01.LZZZZZZZ.jpg
2894640587,Ulysses Travel Guide Chicago,Claude Morneau,1997,Hunter Pub Inc,http://images.amazon.com/images/P/2894640587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2894640587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2894640587.01.LZZZZZZZ.jpg
0515131733,The Winston Brothers,Lori Foster,2001,Jove Books,http://images.amazon.com/images/P/0515131733.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515131733.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515131733.01.LZZZZZZZ.jpg
1552630315,Ockham's Razor,Wade Rowland,1999,Patrick Crean Editions,http://images.amazon.com/images/P/1552630315.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552630315.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552630315.01.LZZZZZZZ.jpg
0449217434,The J. Alfred Prufrock Murders,Corrinne Sawyer,1989,Fawcett Books,http://images.amazon.com/images/P/0449217434.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449217434.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449217434.01.LZZZZZZZ.jpg
0553441795,"Jared's Lady (Loveswept, No 520)",Maris Soule,1992,Loveswept,http://images.amazon.com/images/P/0553441795.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553441795.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553441795.01.LZZZZZZZ.jpg
0696214393,"Your Guide to Creativity: Crafting, Decorating, Quilting, Sewing",Joann Fabrics and Crafts,2001,Meredith Books,http://images.amazon.com/images/P/0696214393.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0696214393.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0696214393.01.LZZZZZZZ.jpg
0821750771,Seeing Eye,Jack Ellis,1995,Zebra Books,http://images.amazon.com/images/P/0821750771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821750771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821750771.01.LZZZZZZZ.jpg
0340238275,Little Sisters,Fay Weldon,0,Coronet Books,http://images.amazon.com/images/P/0340238275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340238275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340238275.01.LZZZZZZZ.jpg
0345386701,Where the Ghost Horse Runs,Alfred Silver,1994,Ballantine Books,http://images.amazon.com/images/P/0345386701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345386701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345386701.01.LZZZZZZZ.jpg
2020562286,Course au mouton sauvage (la),Murakami,2002,Seuil,http://images.amazon.com/images/P/2020562286.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2020562286.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2020562286.01.LZZZZZZZ.jpg
3499117940,Wenn sÃ?Â¼Ã?Â? das Mondlicht auf den HÃ?Â¼geln schlÃ?Â¤ft.,Eric Malpass,1975,Rowohlt Tb.,http://images.amazon.com/images/P/3499117940.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3499117940.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3499117940.01.LZZZZZZZ.jpg
0380810255,Private and Personal : Questions and Answers for Girls Only,Carol Weston,2000,HarperTrophy,http://images.amazon.com/images/P/0380810255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380810255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380810255.01.LZZZZZZZ.jpg
0140154957,The Penguin History of the World (Penguin History),J. M. Roberts,1995,Penguin Books,http://images.amazon.com/images/P/0140154957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140154957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140154957.01.LZZZZZZZ.jpg
0340858982,Teach Yourself Card Games (Teach Yourself),David Parlett,2003,McGraw-Hill,http://images.amazon.com/images/P/0340858982.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340858982.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340858982.01.LZZZZZZZ.jpg
0380719002,Stepping on the Cracks,Mary Downing Hahn,1992,HarperTrophy,http://images.amazon.com/images/P/0380719002.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380719002.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380719002.01.LZZZZZZZ.jpg
0806999780,Two-Hour No Sew Decorating (Two-Hour Crafts),Diana Dunkley,2000,Sterling Publishing,http://images.amazon.com/images/P/0806999780.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806999780.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806999780.01.LZZZZZZZ.jpg
0060132736,Greek Cooking,Lou Seibert Pappas,1973,Harpercollins,http://images.amazon.com/images/P/0060132736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060132736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060132736.01.LZZZZZZZ.jpg
8483105411,Los Ojos Azules Pelo Negro (Fabula),Marguerite Duras,1997,Tusquets,http://images.amazon.com/images/P/8483105411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8483105411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8483105411.01.LZZZZZZZ.jpg
0256116458,Human Resource Management,"Lloyd L., Ph.D. Byars",1994,McGraw Hill College Div,http://images.amazon.com/images/P/0256116458.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0256116458.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0256116458.01.LZZZZZZZ.jpg
0140350748,The Jungle Book (Puffin Classics),Rudyard Kipling,1987,Penguin USA,http://images.amazon.com/images/P/0140350748.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140350748.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140350748.01.LZZZZZZZ.jpg
0517583356,"Et Tu, Babe",Mark Leyner,1992,Random House Inc,http://images.amazon.com/images/P/0517583356.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517583356.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517583356.01.LZZZZZZZ.jpg
8440698844,Los mensajes de los sabios,Brian Weiss,2000,Downtown Book Center,http://images.amazon.com/images/P/8440698844.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8440698844.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8440698844.01.LZZZZZZZ.jpg
0553574566,A Monstrous Regiment of Women,LAURIE R. KING,1996,Bantam,http://images.amazon.com/images/P/0553574566.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553574566.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553574566.01.LZZZZZZZ.jpg
1565923790,Web Performance Tuning: Speeding Up the Web (O'Reilly Nutshell),Patrick Killelea,1998,O'Reilly,http://images.amazon.com/images/P/1565923790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565923790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565923790.01.LZZZZZZZ.jpg
0060101482,The Time of Stalin: Portrait of a Tyranny,Anton Antonov-Ovseyenko,1981,Harper & Row,http://images.amazon.com/images/P/0060101482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060101482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060101482.01.LZZZZZZZ.jpg
0679410139,Brando: Songs My Mother Taught Me,MARLON BRANDO,1994,Modern Library,http://images.amazon.com/images/P/0679410139.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679410139.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679410139.01.LZZZZZZZ.jpg
037303766X,"Their Miracle Baby : Ready for Baby (Harlequin Romance, 3766)",Jodi Dawson,2003,Harlequin,http://images.amazon.com/images/P/037303766X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037303766X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037303766X.01.LZZZZZZZ.jpg
0938817043,My Scrapbook Memories of Dark Shadows,Kathryn Leigh Scott,1986,Pub Group West,http://images.amazon.com/images/P/0938817043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0938817043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0938817043.01.LZZZZZZZ.jpg
0452265452,More News of the Weird,Chuck Shepherd,1990,Plume Books,http://images.amazon.com/images/P/0452265452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452265452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452265452.01.LZZZZZZZ.jpg
0758201435,Living Single,Holly Chamberlin,2002,STRAPLESS,http://images.amazon.com/images/P/0758201435.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0758201435.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0758201435.01.LZZZZZZZ.jpg
0684852217,Close Range: Wyoming Stories,Annie Proulx,1999,Scribner,http://images.amazon.com/images/P/0684852217.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684852217.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684852217.01.LZZZZZZZ.jpg
1563332027,The Best of Gauntlet: Exploring the Limits of Free Expression,Barry Hoffman,1994,Richard Kasak Book,http://images.amazon.com/images/P/1563332027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563332027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563332027.01.LZZZZZZZ.jpg
8437614651,Poesias Completas,Arthur Rimbaud,1997,Ediciones Catedra S.A.,http://images.amazon.com/images/P/8437614651.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8437614651.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8437614651.01.LZZZZZZZ.jpg
3829029853,The Cultures of Native North Americans,Christian F. Feest,2000,Konemann,http://images.amazon.com/images/P/3829029853.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3829029853.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3829029853.01.LZZZZZZZ.jpg
1569473188,Latitudes of Melt,Joan Clark,2002,Soho Press,http://images.amazon.com/images/P/1569473188.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569473188.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569473188.01.LZZZZZZZ.jpg
972210974X,Um deus passeando pela brisa da tarde: Romance (O Campo da palavra),MÃ¡rio de Carvalho,1994,Caminho,http://images.amazon.com/images/P/972210974X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/972210974X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/972210974X.01.LZZZZZZZ.jpg
0373108230,Don'T Play Games (Harlequin Presents),Emma Darcy,1985,Harlequin,http://images.amazon.com/images/P/0373108230.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373108230.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373108230.01.LZZZZZZZ.jpg
0393972798,"Tennyson's Poetry: Authoritative Texts, Contexts, Criticism (Norton Critical Edition)","Alfred Tennyson, Baron Tennyson",1999,W. W. Norton & Company,http://images.amazon.com/images/P/0393972798.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393972798.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393972798.01.LZZZZZZZ.jpg
8401370361,Un mundo que agoniza,Miguel Delibes,1979,Plaza & Janes,http://images.amazon.com/images/P/8401370361.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8401370361.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8401370361.01.LZZZZZZZ.jpg
0446353914,Night Magic,Karen Robards,1988,Warner Books,http://images.amazon.com/images/P/0446353914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446353914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446353914.01.LZZZZZZZ.jpg
0393302644,Cool Repentance,Lady Antonia Fraser,1985,W. W. Norton & Company,http://images.amazon.com/images/P/0393302644.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393302644.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393302644.01.LZZZZZZZ.jpg
0671642308,"Till Death Do Us Part (Nancy Drew Files, No. 24)",Carolyn Keene,1988,Pocket Books,http://images.amazon.com/images/P/0671642308.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671642308.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671642308.01.LZZZZZZZ.jpg
0553256327,The Broken Vase,Rex Stout,1995,Bantam Books,http://images.amazon.com/images/P/0553256327.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553256327.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553256327.01.LZZZZZZZ.jpg
1885211619,Gutsy Women: More Travel Tips and Wisdom for the Road,Marybeth Bond,2001,Travelers' Tales Guides,http://images.amazon.com/images/P/1885211619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1885211619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1885211619.01.LZZZZZZZ.jpg
0618197028,Macroscale and Microscale Organic Experiments,Kenneth L. Williamson,2002,Houghton Mifflin Company,http://images.amazon.com/images/P/0618197028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618197028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618197028.01.LZZZZZZZ.jpg
